Snapshot Period,Charging Dept Name,Union,Sum of Budgeted Positions,Sum of Net Vacancy_Overfill
JAN-24,CONGESTION REDUCTION,NC,2,1
JAN-24,CONGESTION REDUCTION,TEAMS,2,1
JAN-24,CONGESTION REDUCTION,AFSCME,4,1
JAN-24,CONGESTION REDUCTION,ATU,4,2
JAN-24,CONGESTION REDUCTION,TCU,2,1
JAN-24,CONGESTION REDUCTION,UTU,1,1
JAN-24,"EXECUTIVE OFFICE, SHARED MOBILITY",NC,2,1
JAN-24,"EXECUTIVE OFFICE, SHARED MOBILITY",TEAMS,2,1
JAN-24,"EXECUTIVE OFFICE, SHARED MOBILITY",AFSCME,4,1
JAN-24,"EXECUTIVE OFFICE, SHARED MOBILITY",ATU,4,2
JAN-24,"EXECUTIVE OFFICE, SHARED MOBILITY",TCU,2,1
JAN-24,"EXECUTIVE OFFICE, SHARED MOBILITY",UTU,1,1
JAN-24,DPS CARE-BASED SERVICE DEPARTMENT,NC,2,1
JAN-24,DPS CARE-BASED SERVICE DEPARTMENT,TEAMS,2,1
JAN-24,DPS CARE-BASED SERVICE DEPARTMENT,AFSCME,4,1
JAN-24,DPS CARE-BASED SERVICE DEPARTMENT,ATU,4,2
JAN-24,DPS CARE-BASED SERVICE DEPARTMENT,TCU,2,1
JAN-24,DPS CARE-BASED SERVICE DEPARTMENT,UTU,1,1
JAN-24,SYSTEM SECURITY DEPARTMENT,NC,4,1
JAN-24,SYSTEM SECURITY DEPARTMENT,TEAMS,2,1
JAN-24,SYSTEM SECURITY DEPARTMENT,AFSCME,6,2
JAN-24,SYSTEM SECURITY DEPARTMENT,ATU,7,2
JAN-24,SYSTEM SECURITY DEPARTMENT,TCU,3,1
JAN-24,SYSTEM SECURITY DEPARTMENT,UTU,2,1
JAN-24,EMERGENCY SECURITY OPERATIONS CENTER,NC,2,1
JAN-24,EMERGENCY SECURITY OPERATIONS CENTER,TEAMS,1,1
JAN-24,EMERGENCY SECURITY OPERATIONS CENTER,AFSCME,4,1
JAN-24,EMERGENCY SECURITY OPERATIONS CENTER,ATU,4,2
JAN-24,EMERGENCY SECURITY OPERATIONS CENTER,TCU,2,1
JAN-24,EMERGENCY SECURITY OPERATIONS CENTER,UTU,1,1
JAN-24,OFFICE THE CHIEF OF POLICE,NC,3,1
JAN-24,OFFICE THE CHIEF OF POLICE,TEAMS,2,1
JAN-24,OFFICE THE CHIEF OF POLICE,AFSCME,6,2
JAN-24,OFFICE THE CHIEF OF POLICE,ATU,7,2
JAN-24,OFFICE THE CHIEF OF POLICE,TCU,3,1
JAN-24,OFFICE THE CHIEF OF POLICE,UTU,2,1
JAN-24,"EXECUTIVE OFFICE, ADMINISTRATION AND DEVELOPMENT",NC,4,1
JAN-24,"EXECUTIVE OFFICE, ADMINISTRATION AND DEVELOPMENT",TEAMS,2,1
JAN-24,"EXECUTIVE OFFICE, ADMINISTRATION AND DEVELOPMENT",AFSCME,6,2
JAN-24,"EXECUTIVE OFFICE, ADMINISTRATION AND DEVELOPMENT",ATU,8,3
JAN-24,"EXECUTIVE OFFICE, ADMINISTRATION AND DEVELOPMENT",TCU,3,1
JAN-24,"EXECUTIVE OFFICE, ADMINISTRATION AND DEVELOPMENT",UTU,2,1
JAN-24,VEHICLE ENGINEERING & ACQUISITION,NC,3,1
JAN-24,VEHICLE ENGINEERING & ACQUISITION,TEAMS,2,1
JAN-24,VEHICLE ENGINEERING & ACQUISITION,AFSCME,5,2
JAN-24,VEHICLE ENGINEERING & ACQUISITION,ATU,6,2
JAN-24,VEHICLE ENGINEERING & ACQUISITION,TCU,2,1
JAN-24,VEHICLE ENGINEERING & ACQUISITION,UTU,2,1
JAN-24,CHIEF OPERATIONS OFFICE,NC,4,1
JAN-24,CHIEF OPERATIONS OFFICE,TEAMS,2,1
JAN-24,CHIEF OPERATIONS OFFICE,AFSCME,6,2
JAN-24,CHIEF OPERATIONS OFFICE,ATU,7,2
JAN-24,CHIEF OPERATIONS OFFICE,TCU,3,1
JAN-24,CHIEF OPERATIONS OFFICE,UTU,2,1
JAN-24,VEHICLE MAINTENANCE AND ENGINEERING,NC,3,1
JAN-24,VEHICLE MAINTENANCE AND ENGINEERING,TEAMS,2,1
JAN-24,VEHICLE MAINTENANCE AND ENGINEERING,AFSCME,5,2
JAN-24,VEHICLE MAINTENANCE AND ENGINEERING,ATU,6,2
JAN-24,VEHICLE MAINTENANCE AND ENGINEERING,TCU,2,1
JAN-24,VEHICLE MAINTENANCE AND ENGINEERING,UTU,2,1
JAN-24,SERVICE DEVELOPMENT & SCHEDULING,NC,2,1
JAN-24,SERVICE DEVELOPMENT & SCHEDULING,TEAMS,1,1
JAN-24,SERVICE DEVELOPMENT & SCHEDULING,AFSCME,3,1
JAN-24,SERVICE DEVELOPMENT & SCHEDULING,ATU,4,1
JAN-24,SERVICE DEVELOPMENT & SCHEDULING,TCU,1,1
JAN-24,SERVICE DEVELOPMENT & SCHEDULING,UTU,1,1
JAN-24,WORKFORCE MANAGEMENT,NC,4,1
JAN-24,WORKFORCE MANAGEMENT,TEAMS,2,1
